date,open,high,low,close,volume,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread,spread_pct
2025-09-15 06:00:00+00:00,173.01,173.046,172.907,172.986,6680,172.996,173.032,172.894,172.975,173.024,173.059,172.918,172.996,0.021000000000015007,0.01213971072804447
2025-09-15 07:00:00+00:00,172.98,173.116,172.968,173.035,9646,172.968,173.103,172.956,173.021,172.993,173.13,172.98,173.049,0.02800000000002001,0.016181697344479447
2025-09-15 08:00:00+00:00,173.039,173.09,172.964,173.02,7878,173.025,173.078,172.951,173.008,173.053,173.104,172.977,173.032,0.02400000000000091,0.013871228759681485
2025-09-15 09:00:00+00:00,173.017,173.158,172.988,173.105,6900,173.005,173.147,172.975,173.092,173.029,173.171,173.001,173.118,0.025999999999982037,0.015019785679201663
2025-09-15 10:00:00+00:00,173.104,173.255,173.088,173.232,7611,173.092,173.243,173.075,173.218,173.117,173.268,173.102,173.245,0.027000000000015234,0.015586034912727
2025-09-15 11:00:00+00:00,173.233,173.416,173.213,173.375,7859,173.22,173.403,173.2,173.362,173.246,173.43,173.225,173.388,0.02600000000001046,0.014996395097338406
2025-09-15 12:00:00+00:00,173.377,173.45,173.276,173.332,10134,173.365,173.439,173.263,173.318,173.389,173.462,173.287,173.347,0.028999999999996362,0.01673089792998198
2025-09-15 13:00:00+00:00,173.332,173.35,173.186,173.267,10186,173.319,173.337,173.172,173.254,173.346,173.362,173.2,173.28,0.02600000000001046,0.015005742582263476
2025-09-15 14:00:00+00:00,173.268,173.37,173.224,173.335,10259,173.255,173.359,173.209,173.322,173.28,173.382,173.235,173.348,0.02600000000001046,0.014999855770623623
2025-09-15 15:00:00+00:00,173.334,173.392,173.278,173.363,7381,173.322,173.378,173.265,173.35,173.346,173.405,173.291,173.376,0.02600000000001046,0.01499743313164312
2025-09-15 16:00:00+00:00,173.362,173.394,173.24,173.248,8546,173.35,173.381,173.228,173.234,173.375,173.408,173.251,173.263,0.028999999999996362,0.01673900997413902
2025-09-15 17:00:00+00:00,173.249,173.378,173.246,173.335,6715,173.235,173.365,173.233,173.323,173.263,173.39,173.259,173.347,0.02400000000000091,0.013846020711339837
2025-09-15 18:00:00+00:00,173.336,173.399,173.306,173.39,5843,173.324,173.388,173.292,173.379,173.347,173.41,173.319,173.4,0.021000000000015007,0.012111425111030054
2025-09-15 19:00:00+00:00,173.394,173.454,173.386,173.418,4471,173.383,173.443,173.373,173.404,173.404,173.466,173.398,173.433,0.028999999999996362,0.01672260088341254
2025-09-15 20:00:00+00:00,173.418,173.448,173.348,173.375,3647,173.405,173.435,173.33,173.351,173.432,173.461,173.366,173.399,0.04800000000000182,0.027685652487383892
