pair,entry_date,exit_date,direction,entry_price,exit_price,size,profit_pct,profit_dollars,periods_held,exit_reason,confidence,capital_after
GBPUSD,2025-11-25 09:30:00+00:00,2025-11-25 13:30:00+00:00,long,1.31294,1.3145975,77.5620725529306,0.0015574603561473136,0.15860295918400943,48,trailing_stop,0.9026293158531189,510.19374598487326
GBPUSD,2025-11-25 09:35:00+00:00,2025-11-25 13:30:00+00:00,long,1.31343,1.314769,77.53254399499703,0.0010194681102152219,0.10381607640929938,47,trailing_stop,0.8682458996772766,510.2975620612826
AUDUSD,2025-11-25 11:15:00+00:00,2025-11-25 14:50:00+00:00,short,0.64454,0.64454,158.15171101432222,0.0,0.0,43,trailing_stop,0.7917724847793579,510.2975620612826
USDJPY,2025-11-25 09:35:00+00:00,2025-11-25 14:55:00+00:00,short,156.172,155.99325,0.6519739235660281,0.0011445713700279688,0.11654033883743271,64,trailing_stop,0.8561265468597412,510.41410240012
USDJPY,2025-11-25 09:40:00+00:00,2025-11-25 14:55:00+00:00,short,156.156,155.98765,0.6520490723238993,0.0010780885780886022,0.10977246132573092,63,trailing_stop,0.6833631992340088,510.52387486144573
USDJPY,2025-11-25 13:10:00+00:00,2025-11-25 14:55:00+00:00,short,156.149,155.9852,0.6528399085345755,0.0010489980723540275,0.10693517701796937,21,trailing_stop,0.6905376315116882,510.6308100384637
GBPUSD,2025-11-25 14:00:00+00:00,2025-11-25 15:05:00+00:00,long,1.31681,1.317798,77.51100273580099,0.0007502980688178164,0.07658087070297051,13,trailing_stop,0.7563294768333435,510.7073909091667
EURUSD,2025-11-25 14:00:00+00:00,2025-11-25 15:40:00+00:00,long,1.15654,1.1577035,88.25165800136323,0.0010060179500925995,0.1026808040845945,20,trailing_stop,0.7523719072341919,510.81007171325126
EURUSD,2025-11-25 14:45:00+00:00,2025-11-25 15:40:00+00:00,long,1.15717,1.15717,88.20360768156023,0.0,0.0,11,trailing_stop,0.7252238392829895,510.81007171325126
GBPUSD,2025-11-25 14:35:00+00:00,2025-11-25 15:45:00+00:00,long,1.31791,1.3185795,77.44571520560966,0.0005080013050967825,0.05184990633016345,14,trailing_stop,0.7667942643165588,510.86192161958144
GBPUSD,2025-11-25 15:00:00+00:00,2025-11-25 17:30:00+00:00,long,1.31837,1.319449,77.46924933071332,0.0008184348855025919,0.08358932002784372,30,trailing_stop,0.7558828592300415,510.9455109396093
GBPUSD,2025-11-25 15:15:00+00:00,2025-11-25 17:30:00+00:00,long,1.31848,1.3194875000000001,77.47440300808816,0.0007641374916570975,0.0780554610306527,27,trailing_stop,0.6741554737091064,511.02356640063994
AUDUSD,2025-11-24 06:00:00+00:00,2025-11-25 17:45:00+00:00,long,0.64664,0.647147,157.30937979324938,0.0007840529506371941,0.07975585555518297,429,trailing_stop,0.6647776365280151,511.1033222561951
GBPUSD,2025-11-25 15:30:00+00:00,2025-11-25 18:10:00+00:00,long,1.31883,1.3201105,77.45384092530244,0.0009709363602587276,0.09917964330485116,32,trailing_stop,0.7934200763702393,511.20250189949996
AUDUSD,2025-11-25 17:30:00+00:00,2025-11-26 00:45:00+00:00,long,0.64753,0.647829,157.85486868706636,0.001077052800642384,0.11009177393920272,87,trailing_stop,0.7401720285415649,511.31259367343915
AUDUSD,2025-11-25 17:40:00+00:00,2025-11-26 00:45:00+00:00,long,0.64754,0.6478324999999999,157.8499927103972,0.0010710257281402705,0.10947402114441941,85,trailing_stop,0.6854817867279053,511.4220676945836
AUDUSD,2025-11-25 18:20:00+00:00,2025-11-26 00:45:00+00:00,long,0.64758,0.6478465,157.8979481087551,0.0010469192995459533,0.10704912449159905,77,trailing_stop,0.6760005950927734,511.52911681907517
AUDUSD,2025-11-25 17:20:00+00:00,2025-11-26 00:50:00+00:00,long,0.64713,0.6476955,157.9024886778912,0.0013243150526169364,0.13532306440690714,90,trailing_stop,0.7874215245246887,511.6644398834821
AUDUSD,2025-11-26 01:30:00+00:00,2025-11-26 03:15:00+00:00,long,0.64911,0.649591,157.66807589161905,0.0007410146200182785,0.07583834450387897,21,trailing_stop,0.6588385701179504,511.740278227986
AUDUSD,2025-11-26 03:25:00+00:00,2025-11-26 06:30:00+00:00,long,0.65041,0.650891,157.37622727434447,0.0007395335250072318,0.0756979653189524,37,trailing_stop,0.6947370171546936,511.81597619330495
EURUSD,2025-11-25 15:30:00+00:00,2025-11-26 06:35:00+00:00,long,1.15804,1.1589955,88.20812306282889,0.0008251010327796182,0.08428286158654262,181,trailing_stop,0.7503529191017151,511.9002590548915
EURUSD,2025-11-25 17:55:00+00:00,2025-11-26 06:35:00+00:00,long,1.15832,1.1590935,88.25516684904599,0.0006677774708197929,0.06826537155773554,152,trailing_stop,0.6680570244789124,511.9685244264492
GBPUSD,2025-11-25 18:00:00+00:00,2025-11-26 13:30:00+00:00,long,1.32053,1.32053,77.41467889342034,0.0,0.0,234,trailing_stop,0.7730384469032288,511.9685244264492
USDJPY,2025-11-26 11:10:00+00:00,2025-11-26 14:35:00+00:00,long,156.552,156.66705000000002,0.6540889774458928,0.0007348995860801841,0.0752529368551663,41,trailing_stop,0.9036951661109924,512.0437773633043
USDJPY,2025-11-26 13:30:00+00:00,2025-11-26 14:35:00+00:00,long,156.573,156.67440000000002,0.6540054219698644,0.000647621237378171,0.06631614978775234,13,trailing_stop,0.7238988280296326,512.1100935130921
EURUSD,2025-11-26 02:15:00+00:00,2025-11-26 16:40:00+00:00,long,1.15866,1.1595374999999999,88.32613024279412,0.0007573403759514132,0.07750617928803988,173,trailing_stop,0.8357676267623901,512.1875996923802
EURUSD,2025-11-26 02:25:00+00:00,2025-11-26 16:40:00+00:00,long,1.15872,1.1595585,88.32155628728201,0.0007236433305716345,0.07405762494688281,171,trailing_stop,0.8696793913841248,512.2616573173271
AUDUSD,2025-11-26 16:00:00+00:00,2025-11-26 19:10:00+00:00,long,0.65138,0.6516595,157.25299192811278,0.00042908901102273346,0.04395221124390565,38,trailing_stop,0.7012935876846313,512.305609528571
AUDUSD,2025-11-26 18:00:00+00:00,2025-11-26 23:45:00+00:00,long,0.65176,0.6523255,157.20781258779417,0.0008676506689578933,0.08890101801839705,69,trailing_stop,0.664790153503418,512.3945105465895
EURUSD,2025-11-26 05:55:00+00:00,2025-11-27 00:15:00+00:00,long,1.15916,1.159966,88.30035255726233,0.0006953311018324342,0.07117008416116088,220,trailing_stop,0.7704101204872131,512.4656806307506
EURUSD,2025-11-26 06:10:00+00:00,2025-11-27 01:20:00+00:00,long,1.15934,1.1601135,88.28664215031631,0.0006671899529042235,0.06828971770326812,230,trailing_stop,0.7736369371414185,512.5339703484539
AUDUSD,2025-11-26 23:30:00+00:00,2025-11-27 02:10:00+00:00,long,0.65246,0.653084,157.05260868441786,0.0009563804677680744,0.09800082781907013,32,trailing_stop,0.7448409795761108,512.6319711762729
EURUSD,2025-11-26 06:15:00+00:00,2025-11-27 02:50:00+00:00,long,1.15942,1.1606225,88.28055000267148,0.0010371565092891233,0.10615736137821202,247,trailing_stop,0.8003243207931519,512.7381285376512
EURUSD,2025-11-26 06:25:00+00:00,2025-11-27 02:50:00+00:00,long,1.15963,1.160696,88.26532331128212,0.000919258729077388,0.09409083464982775,245,trailing_stop,0.7093396186828613,512.832219372301
GBPUSD,2025-11-26 15:15:00+00:00,2025-11-27 02:50:00+00:00,long,1.32344,1.3252145,77.39543185725609,0.0016044943480626303,0.1643454845681547,139,trailing_stop,0.6570161581039429,512.9965648568691
